기관ID,주소,병원분류명,응급실운영여부(T/F),비고,기관설명상세,간이약도,기관명,대표전화1,응급실전화,평일진료시간,토요일진료시간,일요일진료시간,공휴일진료시간,병원경도,병원위도,진료과
A1104130,"서울특별시 강남구 도산대로 118 (논현동, 신사빌딩 2층)",의원,F,비만클리닉,"365일 진료, 국민건강보험공단 검진 지정병원 점심시간 13~14시",신사역 1번 출구 인근,365엠씨의원,02-516-3650,02-920-5374,11:00~20:00,11:00~16:00,09:00~14:00,09:00~14:00,127.0218085,37.5166042,가정의학과
A1106364,"서울특별시 강남구 테헤란로 509, 지하2층,지하1층일부,2층 (삼성동)",의원,F,일요일 공휴일의 경우 진료가능여부 전화확인 후 방문 필요,차움건진센터 삼성분원,삼성역 5번출구 인근/하나은행 강남외환센터 건물 옆 NC타워,(의)성광의료재단차움건진의원,02-1800-7750,-,07:30~16:30,07:30~11:30,09:00~12:30,09:00~12:30,127.0582065,37.50778005,내과
A1122178,서울특별시 강동구 올림픽로98길 11  (암사동),의원,F,점심시간 13:00~14:00,정신건강의학과,암사역 1번출구/암사종합시장 인근,강동통합의원,02-442-1911,02-440-7000,09:00~18:00,09:00~14:00,09:00~15:30,09:00~15:30,127.128779,37.55140679,내과
A1116513,"서울특별시 용산구 유엔빌리지길 72, 지하1,지상1,2층 (한남동)",의원,F,2013.10 개업,평일야간진료는 예약제/토요일 한달에 한번 휴무이나 유동적이므로 토요일 진료시 미리전화/,교대역 8번 출구,97.7비엔에치의원,02-3438-0510,02-920-5374,09:30~18:30,09:30~16:00,09:00~23:00,09:00~23:00,127.010816,37.53218945,피부과
A1123159,"서울특별시 강남구 도산대로 452, JS빌딩 3층 (청담동)",의원,F,"토요일 2,5째 휴무","건강검진센터, 내과진료만 가능",시청역 9번 출구 인근,10년전당신의오늘의원,02-541-0333,02-920-5374,10:00~19:00,10:00~16:00,09:00~12:30,09:00~16:30,127.0457336,37.52363049,피부과
A1120821,"서울특별시 송파구 송이로32길 37, 1층 (문정동, 문정푸르지오아파트)",의원,F,토요일은 휴무입니다.,"응급의학과 전문의진료, 급만성 질환 및 외상 등 모든 1차진료 가능.",강변역 1번출구 우리은행 인근(광진문화원 옆건물)/프라임프라자 5층,365문정사랑의원,02-431-1339,02-920-5374,09:00~20:30,09:00~14:00,09:00~17:00,09:00~18:00,127.1272083,37.48700275,가정의학과
A1105023,서울특별시 도봉구 덕릉로 236 (창동),의원,F,"매월 2, 4주 토요일 휴진",평일 17시30분 접수마감/,서울탁주 건너편,강준구내과의원,02-908-7772,02-986-0334,09:00~18:00,09:00~13:00,08:30~13:00,09:00~13:00,127.0385106,37.63875582,"내과,안과,이비인후과,정형외과,피부과"
A1123681,"서울특별시 강남구 강남대로118길 12, 부경빌딩 5층 (논현동)",의원,F,13~14휴게시간,"물리치료실, 건강검진, 내과, 정형외과, 소아과, 외과 등 진료",선유도역 7번 출구,365코이이비인후과의원,02-540-0442,02-920-5374,10:00~23:00,10:00~20:00,14:00~20:00,09:00~20:30,127.0247573,37.50631189,내과
A1120583,"서울특별시 강남구 논현로 822, 로뎀빌딩 4,5,6층 (신사동)",의원,F,16:00까지 접수마감,"안면질환(안면마비/구안와사후유증, 삼차신경통) 이명, 안구건조증, 다이어트, 피부질환(건선/여드름), 여성질환, 교통사고후유증을 진료하는  얼굴에 관한 모든 것 365화사한의원입니다.",논현역 1번출구 바로앞,815의원,02-515-8150,02-920-5374,10:00~18:30,10:00~17:00,09:00~23:00,09:00~22:00,127.028448,37.52177815,피부과
A1106181,"서울특별시 구로구 가마산로27길 14, 신원빌딩 2층 (구로동)",의원,F,"투석실 월수금 7~22:30, 화목토 7시~13시 운영",의료법인 열린의료재단,영림중학교 앞,(의)열린의료재단오경식의원,02-861-4658,-,09:00~17:00,09:00~13:00,09:00~12:30,09:00~12:30,126.8918534,37.49772931,내과
A1122659,"서울특별시 송파구 송파대로 111, 205동 412,415호 (문정동, 파크하비오)",의원,F,소아(2세이상)/수액처치/이물제거/후두내시경/,일반진료/피부미용/화상/,선릉역 4번 출구,강남하이텍의원,02-403-7788,02-874-7227,09:00~18:00,09:00~16:00,10:00~17:00,09:00~14:00,127.1249139,37.47966838,내과
A1116494,"서울특별시 영등포구 국제금융로7길 3, 210호 (여의도동)",의원,F,소아(협조가능)/봉합(구강외과)/교정/턱관절,정형외외과 진료 업무입니다.,숭실대역3번출구 근처,호산소아청소년과의원,02-783-7004,02-2049-9119,10:00~17:00,09:00~13:00,09:30~15:00,09:30~16:00,126.9312027,37.52256162,내과
A1123226,"서울특별시 서초구 강남대로 435, 주류성빌딩 14층 (서초동)",의원,F,접수는 진료 마감 1시간전까지,상처소독／간단한 외상처치／,강변역 1번출구 우리은행 인근(광진문화원 옆건물)/프라임프라자 5층,365리셋의원,02-536-3962,02-920-5374,10:30~19:30,10:00~16:00,09:00~18:00,09:00~18:00,127.025561,37.50117761,내과
A1101087,"서울특별시 강동구 아리수로93길 27, 304호 (강일동)",의원,F,"2,4째 토요일 휴진",사전전화요(미예약시 대기시간발생)/,강일주민센터 건너편 강일타워 3층/아리수로 93길 27),강일코모키이비인후과의원,02-429-2687,02-986-0334,09:00~18:20,09:00~13:00,09:00~13:00,09:00~13:00,127.1738171,37.56562239,가정의학과
A1123351,"서울특별시 강서구 방화동로 40, 2층 (공항동)",의원,F,13~14 휴게시간,"안면질환(안면마비/구안와사후유증, 삼차신경통) 이명, 안구건조증, 다이어트, 피부질환(건선/여드름), 여성질환, 교통사고후유증을 진료하는  얼굴에 관한 모든 것 365화사한의원입니다.",교대역 9번 출구 바로앞,88플러스내과의원,02-2661-8800,02-920-5374,08:00~18:00,08:00~14:00,09:00~23:00,09:00~22:00,126.8112685,37.56405095,내과
A1123674,"서울특별시 노원구 동일로192길 74, 201,202호 (공릉동, 우은빌딩)",의원,F,13~14 휴게시간,"안면질환(안면마비/구안와사후유증, 삼차신경통) 이명, 안구건조증, 다이어트, 피부질환(건선/여드름), 여성질환, 교통사고후유증을 진료하는  얼굴에 관한 모든 것 365화사한의원입니다.",교대역 9번 출구 바로앞,88플러스내과의원,02-972-8800,02-920-5374,08:00~18:00,08:00~14:00,09:00~23:00,09:00~22:00,127.0770954,37.62707492,내과
A1104720,"서울특별시 관악구 은천로 109, 2층 201호 (봉천동, 한독빌딩)",의원,F,일반진료/화상/,"2인원장 책임진료 시스템 서울대 대학병원 출신 전문의 상주 -응급 진료, 구강내외 외상(봉합), 턱관절 , 임플란트, 교정진료",봉천역 4번 출구에서 마을버스타고 이동,강피부과의원,02-3476-8275,02-2001-1005,09:00~18:00,09:30~13:30,10:00~14:00,09:00~13:00,126.9475559,37.48700373,내과
